element_id,parentelement_id,cat1,cat2,num1,num2,num3,num4,num5,num6,num7,num8,num9,num10
Child22_1,Child2_5,b,b,99.7216809209,55.2441290621,77.5422961454,21.5116939137,13.7296284283,75.6459621356,27.8131085311,44.4550976927,30.2886780865,78.3995929849
Child22_2,Child2_16,e,i,52.1707181109,82.4151636152,68.1123436413,4.16676810523,95.4164155033,53.1328815942,86.9436526635,44.6564775549,44.4353333201,87.3592407266
Child22_3,Child2_14,b,g,97.0917263437,55.5329242375,74.2457525303,36.4648831063,96.2254839478,14.8479299247,29.9583962959,9.92404756638,92.5171538019,77.7505672521
Child22_4,Child2_7,i,i,62.8941640427,8.00397198587,1.52194765162,50.9299192785,15.5686297103,94.9234984098,10.2022962648,4.96255082288,32.4703654243,17.7316090184
Child22_5,Child2_14,a,g,96.7507770516,87.7998066357,3.28549528311,15.6547671783,66.1165486066,19.5534050015,56.4196286504,30.3753563269,28.1840900463,82.0808588182
Child22_6,Child2_5,a,e,3.65074243181,26.6600569509,80.7747051074,57.6795788068,29.0576147094,0.460519056457,95.0495920697,28.8737441438,36.306047689,96.6813170841
Child22_7,Child2_4,f,b,51.6903666713,87.5911181768,5.81530125013,51.3570837977,97.7334628302,50.5330377921,53.096279624,27.8694953792,56.7360354923,87.2465140496
Child22_8,Child2_8,c,c,20.3361900374,79.6205795526,98.2112261007,88.7806926312,34.8159003952,71.2364036717,65.5552375071,66.1254712303,84.6441250419,90.3440157888
Child22_9,Child2_5,i,i,48.4562155423,68.8451571683,45.2638166064,40.3789526398,83.5158146149,74.6222472687,47.2907103875,11.7173712124,33.1579518077,75.5460105537
Child22_10,Child2_3,c,c,60.5718625631,68.1130942377,48.3743661562,99.3423824927,22.96136879,54.6472036294,15.3862404807,18.6999662918,26.2861661589,36.4591089477
Child22_11,Child2_20,d,f,50.9345239204,49.5677673275,70.7893450966,55.5595424387,39.6590370626,45.5027483076,57.5418525763,26.4921571233,16.1325304911,98.0035799159
Child22_12,Child2_3,g,f,5.34281258182,4.33799325489,18.0114048061,22.3353805988,60.5190804498,36.3520833367,39.9934057159,55.8476598366,97.9821014968,4.43901278344
Child22_13,Child2_19,c,b,81.9254190185,99.2265295354,69.7879503198,58.846659509,75.8936201086,82.4871120179,5.78042067425,15.0234330224,93.3408536224,78.5478946748
Child22_14,Child2_11,c,d,92.5402529972,58.0377147347,83.7709092838,70.5225467511,99.6602689733,25.3462682309,18.3455111482,55.5089677288,14.5767308133,37.2563240371
Child22_15,Child2_6,c,j,26.9157124545,41.2773376897,46.4631808717,13.2051044258,97.9667190351,77.6823275291,78.4406375002,87.5803505357,99.9055337072,62.640642995
Child22_16,Child2_18,f,c,51.2840194916,21.6985455857,37.1594333213,16.6723544855,53.948681413,16.852659386,51.5097554222,56.2103282811,2.05336099058,2.65256276672
Child22_17,Child2_20,g,a,18.6232616516,52.2939566439,24.5875098498,37.3000667969,64.9245214819,26.4421080223,72.411458405,11.7925433752,92.6557332455,94.9941084987
Child22_18,Child2_17,b,b,80.3658061386,4.03385877138,47.9853264199,84.3814247463,56.8925434488,36.3873397525,83.4753734034,70.8281141579,61.8777501445,67.8104137098
Child22_19,Child2_15,c,e,7.25940213239,23.0652060791,61.4625649904,51.4060648971,98.4979542981,48.4650596031,75.5826902681,57.0735852309,8.16682324562,72.5482193891
Child22_20,Child2_15,b,j,17.9802056885,49.0900811188,44.8387009078,2.79971129481,56.9296296428,13.0339650018,75.5895570569,95.0408321323,98.9003815365,83.1893696526
Child22_21,Child2_10,a,a,17.7110229796,75.5631013571,30.5491786351,76.7782432876,58.5077334021,91.2451468598,5.46415258882,85.5475061432,8.29589262693,9.19112738258
Child22_22,Child2_8,g,d,10.1668373437,93.2199019512,84.9500039216,64.8944551013,65.3880288503,4.20113680863,71.8454601209,78.5990535534,21.205669656,75.0109680898
Child22_23,Child2_2,a,d,88.158294188,79.380293041,15.1847755211,43.9569249784,51.0984172278,17.5511928482,65.3134575721,13.9363542891,19.856961148,14.4980445609
Child22_24,Child2_10,j,i,65.0330594969,14.1293883518,36.4895650428,3.90648943565,21.1464671773,97.3833191478,12.8028904079,39.8675014594,51.4792291719,30.5105268147
Child22_25,Child2_13,c,e,59.6643607204,77.470776229,16.485946909,6.4433850695,56.0041010248,79.3556328786,9.60010689365,88.7334632867,7.31859955661,0.262813539185
Child22_26,Child2_8,g,i,64.529187966,17.1531561919,81.4399849624,12.1820535844,25.6204911641,54.3682142403,27.0913980101,25.2439428979,52.0177166641,51.4471845379
Child22_27,Child2_4,g,g,74.3411411723,46.5504287827,90.8469608843,37.4479549496,7.5262061275,4.17212417666,46.6363769581,76.6093582166,17.4912134496,63.8164315417
Child22_28,Child2_3,f,e,0.361162298022,66.5073491806,67.4519365747,42.6935535312,73.5938099043,65.3097471787,72.3722623331,48.1145381646,80.5678489559,50.254445134
Child22_29,Child2_12,f,j,75.5858901797,49.7869462014,87.978383988,57.9538343635,27.53160218,87.4054783497,13.6195746021,26.2754470644,33.5934810517,7.44985562127
Child22_30,Child2_16,e,f,88.6350412846,90.3885952217,43.3706033396,15.4143229914,11.9804647124,75.2630015142,87.8308208239,31.196031701,92.5566562418,90.4016730462
Child22_31,Child2_1,a,f,57.3870023986,89.9236145514,27.2035736444,95.6477760555,81.6737803734,7.46896089284,68.2076152471,35.6398424358,66.0966449958,49.4036030602
Child22_32,Child2_2,f,c,42.8784446638,37.9094761385,53.3262705166,17.8352628345,61.7221422408,29.6873312255,16.7772805042,29.1878368554,83.6420957471,39.4464026241
Child22_33,Child2_5,c,h,6.66702089092,32.3292522653,61.1734462048,74.9398506542,98.9000016967,72.3919685713,23.7984983222,85.3446272794,30.8306110162,20.3661665252
Child22_34,Child2_15,d,d,94.7761333553,67.723620678,38.7870503645,38.5840059536,70.273039792,38.9535954164,10.161686694,11.3452553088,82.2706270999,0.335154412656
Child22_35,Child2_6,c,b,38.5446181936,63.6883319681,2.43474018956,10.7180086153,55.9982765759,80.9452862467,70.670359356,52.3483255464,10.2893944144,85.8971529829
Child22_36,Child2_14,j,d,55.7568888355,60.9856845403,20.1864187903,47.8509486797,24.8144595083,83.5505391414,76.8914893525,37.4066848114,45.2124956599,31.8047349244
Child22_37,Child2_9,d,e,69.517725904,6.48315606795,75.2503187775,20.3305042489,64.3017660736,70.9921448557,31.2262633122,62.4769145869,84.8573760288,44.8300439794
Child22_38,Child2_7,e,i,20.3859505803,68.3461971517,21.8909751791,92.9646655852,38.178496312,58.4393072237,41.5429695911,4.55817054572,26.9690532613,37.8288067195
Child22_39,Child2_16,g,f,35.8011054819,69.9007568809,17.8502466255,54.3281685459,44.6853095267,46.896594485,82.3761107456,63.4586610194,40.8184534182,91.8807770223
Child22_40,Child2_13,d,h,68.5739652931,64.1078295919,88.2953655941,12.6326293581,69.1348448935,86.9505517384,19.4107969339,49.5858657308,48.2035930355,0.546944711552
Child22_41,Child2_2,f,j,76.3705306785,98.8671114434,15.2558674436,71.2394895223,65.2483652531,56.3371616207,94.7227630578,54.6538238989,92.2792653262,25.2151232817
Child22_42,Child2_13,c,j,36.1879467954,50.5905195046,34.9683186982,65.1198631871,97.687002777,5.24525078707,97.1685128528,72.3868094702,70.8093918899,90.3485946834
Child22_43,Child2_13,h,b,70.8633366835,66.6682640343,26.1154983431,5.17032819321,12.100203271,62.141147347,89.0708511991,52.151229579,17.9225712813,85.6423119733
Child22_44,Child2_2,c,g,5.66204919952,39.3517999932,28.9479911844,22.2674102174,48.8472449534,95.5523114544,77.0142947438,1.4776028098,25.9953171505,93.8020129173
Child22_45,Child2_3,i,i,91.6683396891,8.84484764449,26.2678701464,89.2330864485,43.1159932886,95.9693044844,3.36970830438,35.9583838243,14.2319565624,56.3278866019
Child22_46,Child2_9,g,h,19.1071306227,91.9093414183,66.5277078333,65.3556608875,89.511324442,19.0129811483,27.9572960172,43.272624432,78.4345732879,17.0816048513
Child22_47,Child2_2,c,b,81.9880258121,84.7931551239,13.9085863329,66.8799296819,82.3812971976,70.8003480062,98.9219985566,96.5022558698,30.3041748174,43.1430207307
Child22_48,Child2_11,g,b,19.4431388386,77.7154943876,84.8539806037,34.7837327428,93.6221562104,48.3592508931,11.8041996021,7.92350199909,7.21425439508,33.1812830322
Child22_49,Child2_11,i,c,2.08479798585,62.9944930401,95.4678143196,26.5032242519,33.3403006008,67.962851638,95.8747426343,63.2334608173,43.6258228033,1.71642500851
Child22_50,Child2_9,e,a,42.6071238813,46.7359560364,94.5520835873,88.6372926865,23.7443508619,37.7127047073,28.8953033085,5.4714818036,44.8712871359,20.8793015854
Child22_51,Child2_14,i,h,39.3479784227,8.69347842352,41.3522278932,83.7471728533,53.5003028502,8.47267992697,17.7941835871,85.000495803,96.4617861824,56.878268425
Child22_52,Child2_13,a,c,65.4552869682,23.0282148166,96.4680809931,52.1842863237,82.9974282215,76.5783278989,54.2469564677,5.90662184331,23.5942090463,47.8802634539
Child22_53,Child2_4,i,a,70.658036646,30.4026437378,54.0270156753,55.0450293904,99.1383752307,45.8312094815,85.5791029243,2.3782765421,50.3691932583,19.6577139122
Child22_54,Child2_18,b,f,6.64452966513,6.88512347565,42.4798425346,5.63420308159,95.2809100653,46.800562998,62.5743177523,65.5730939894,59.6803839265,13.2665327552
Child22_55,Child2_14,b,a,81.8082415898,71.3367576512,25.7993766306,12.1504015343,85.7072266106,92.7424838936,95.1435799166,69.3523728855,10.3914311707,44.374259694
Child22_56,Child2_10,f,b,78.8279138381,6.40318214159,98.5709538531,35.103202388,99.6864168604,15.8003641257,86.0119940183,98.5669277361,31.2906529358,46.5105582968
Child22_57,Child2_10,j,c,62.2635040759,0.524061549496,45.8939458202,59.648914699,21.262821938,83.3635546497,33.5241174322,64.7029391789,60.4070846621,32.6984804284
Child22_58,Child2_2,c,j,31.7679324478,59.4190293505,87.8116566913,3.88600822426,44.6694988643,32.3979653024,26.218810762,74.2672682127,17.0429553744,29.6920851551
Child22_59,Child2_7,i,i,37.8939741748,78.0765732002,83.2936384261,43.0921875589,88.9834643704,67.4387580468,88.5846696641,98.9372115417,56.9472792562,66.0441609278
Child22_60,Child2_9,e,d,5.69568909974,94.0244272106,77.7357072365,66.055021604,49.364781364,12.5579314204,92.2238876897,94.3053993191,93.4654049615,70.6234917975
Child22_61,Child2_9,g,d,13.3715545141,16.7894180945,52.902267544,99.5377723394,97.4407039121,44.7417626948,2.97630796946,63.3513037701,0.16454323208,98.4174124994
Child22_62,Child2_9,f,j,69.0636368998,86.0180370053,60.2665557344,55.8108473305,7.56879833993,14.304976932,80.6198393319,24.71891023,92.5142475403,20.9983999434
Child22_63,Child2_4,g,c,35.7363192539,55.8133099137,94.0264280509,41.7804021818,51.4287507347,27.552943467,17.1770556333,75.579909163,95.5413666076,46.356978336
Child22_64,Child2_6,d,i,4.66608641148,0.833940213,16.4303756507,39.2045892344,10.8755171834,48.4165920482,31.5275858047,18.7862360088,85.0804470751,35.2568125944
Child22_65,Child2_16,e,f,15.5980603374,95.5228746032,55.5614969689,92.4562018664,78.9978925385,3.11317449308,51.4844921898,92.5137274367,13.3922863216,58.2181810947
Child22_66,Child2_1,h,i,9.95943485514,37.8187316854,81.7222845566,85.0222749779,42.6466410705,47.8703576162,37.236027889,99.1360024888,92.0193652748,92.4376401998
Child22_67,Child2_7,c,j,39.0273629758,52.5153232316,10.8178867212,37.4496843613,12.9384516876,45.7034783177,32.6077521013,88.977892332,95.6208417308,36.8001572089
Child22_68,Child2_12,a,d,50.9033439105,31.1768645954,97.1631124844,63.1324407898,5.4796807355,6.66789228463,27.6550754724,80.8643345578,23.0379181379,93.2238360217
